,Real-time_Price,Log_Real-time_Price,Removed_MA_Real-time_Price,Removed_Exp_WMA_Real-time_Price,First_Diff_Real-time_Price,Second_Diff_Real-time_Price,Removed_Log_MA_Real-time_Price
2012-01-01,37.572916666666664,3.6262834894357026,3.549285714285702,0.11249943128345441,11.813750000000002,1.5533333333333275,0.10915160440784932
2012-01-02,32.94208333333333,3.4947509690559464,-1.3664285714285853,-0.01723871919856368,-4.630833333333335,7.182916666666667,-0.031301670980645735
2012-01-03,43.39458333333334,3.770334625329483,7.910595238095233,0.2339891230515727,10.452500000000008,5.8216666666666725,0.2142465839367631
2012-01-04,58.83166666666667,4.074680258692081,19.442738095238084,0.4875825281800603,15.437083333333334,25.88958333333334,0.42933717305078334
2012-01-05,37.76541666666666,3.63139378084811,-1.1325000000000216,0.04011998102282144,-21.06625000000001,-5.629166666666677,-0.0015057114677468064
2012-01-06,30.820000000000007,3.42816382989197,-7.335119047619052,-0.1477325596459811,-6.945416666666652,-28.011666666666663,-0.18246438497512507
2012-01-07,27.641250000000003,3.3193092221894713,-10.782738095238106,-0.23239706941396143,-3.1787500000000044,-10.124166666666657,-0.30139308858806224
2012-01-08,28.2375,3.340650881794122,-8.852857142857157,-0.19115787913520954,0.5962499999999977,-2.5825000000000067,-0.23924677074889988
2012-01-09,35.39416666666666,3.566547023133953,-2.046488095238111,0.03146326613413031,7.156666666666663,7.7529166666666605,-0.02360720856307008
2012-01-10,35.59583333333334,3.5722285898096273,-0.7307142857142921,0.03364295408096707,0.2016666666666751,7.358333333333338,0.010375220329726709
2012-01-11,38.43458333333333,3.6489576619288386,5.02190476190475,0.0999665560022569,2.8387499999999903,3.0404166666666654,0.14792180627225804
2012-01-12,35.51708333333334,3.5700138013891194,2.425595238095241,0.01904075276703443,-2.9174999999999898,-0.07874999999999943,0.07774651422668066
2012-01-13,39.990833333333335,3.6886502611845766,5.5892261904761895,0.12469750944774027,4.4737499999999955,1.5562500000000057,0.159170626694622
2012-01-14,46.14958333333333,3.8318879323779482,9.103928571428568,0.24267523359548004,6.158749999999998,10.632499999999993,0.22918276786106828
2012-01-15,54.075416666666676,3.9903796771569477,13.33863095238096,0.36334642563501296,7.925833333333344,14.084583333333342,0.29485611330252137
2012-01-16,58.59958333333335,4.070727586205015,14.547738095238103,0.4018644586222955,4.524166666666673,12.450000000000017,0.30317822762615076
2012-01-17,48.19208333333333,3.875194761370267,2.340773809523803,0.18687944340761575,-10.40750000000002,-5.883333333333347,0.06436452113988267
2012-01-18,30.20041666666667,3.4078557211951397,-14.474583333333342,-0.2540188936622485,-17.99166666666666,-28.39916666666668,-0.368531384644716
2012-01-19,39.81875,3.684337906882661,-5.47077380952382,0.020345535164560502,9.618333333333332,-8.373333333333328,-0.10838121402770051
2012-01-20,38.60541666666668,3.6533925947776975,-6.4861904761904725,-0.009600468810841978,-1.213333333333324,8.405000000000008,-0.13428971664596734
2012-01-21,46.940416666666664,3.8488790669635122,1.735833333333325,0.1683613521121532,8.334999999999987,7.121666666666663,0.058769450599052586
2012-01-22,38.28958333333333,3.6451778835635373,-4.659880952380952,-0.03200812148847376,-8.650833333333331,-0.3158333333333445,-0.09561719085900622
2012-01-23,35.58625,3.5719593272946106,-4.075595238095239,-0.0953062921567498,-2.703333333333333,-11.354166666666664,-0.09758313871216062
2012-01-24,23.428749999999997,3.153963900691058,-12.695476190476196,-0.4649095135885428,-12.157500000000002,-14.860833333333336,-0.41254558521868345
2012-01-25,28.12875,3.3367921849698186,-7.699523809523807,-0.25548764463052276,4.700000000000003,-7.4575,-0.21956536719344832
2012-01-26,30.35875,3.4130847790842944,-4.118095238095236,-0.16230119777134977,2.2300000000000004,6.930000000000003,-0.10452232625063429
2012-01-27,33.00666666666667,3.4967095612651673,-0.6703571428571422,-0.07125909141975706,2.647916666666667,4.877916666666668,0.0014857464320283675
2012-01-28,26.79875000000001,3.288355244638004,-4.000892857142848,-0.2532524805135754,-6.207916666666659,-3.5599999999999916,-0.12679373843434805
